filename, language, Markdown, JSON, Ignore, C#, XML, JavaScript, HTML, TypeScript, CSS, Properties, Log, comment, blank, total
README.md, Markdown, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
job-seeker-spa\.editorconfig, Properties, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 3, 14
job-seeker-spa\.gitignore, Ignore, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 40
job-seeker-spa\README.md, Markdown, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28
job-seeker-spa\angular.json, JSON, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 142
job-seeker-spa\e2e\protractor.conf.js, JavaScript, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 2, 28
job-seeker-spa\e2e\src\app.e2e-spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
job-seeker-spa\e2e\src\app.po.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
job-seeker-spa\e2e\tsconfig.e2e.json, JSON, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
job-seeker-spa\package-lock.json, JSON, 0, 11624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11625
job-seeker-spa\package.json, JSON, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 73
job-seeker-spa\src\app\Routes.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 10, 54
job-seeker-spa\src\app\_models\employee.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
job-seeker-spa\src\app\_models\employeeReport.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
job-seeker-spa\src\app\_models\job.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
job-seeker-spa\src\app\_models\jobReport.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
job-seeker-spa\src\app\_models\jobSeeker.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 7, 32
job-seeker-spa\src\app\_models\jobSeekerReport.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
job-seeker-spa\src\app\_models\photo.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
job-seeker-spa\src\app\_pipes\AgePipe.pipe.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 3, 12
job-seeker-spa\src\app\_pipes\AgePipe.pipe.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 16
job-seeker-spa\src\app\_pipes\sanitizeUrl.pipe.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 3, 12
job-seeker-spa\src\app\_pipes\sanitizeUrl.pipe.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
job-seeker-spa\src\app\_route-guards\auth.guard.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
job-seeker-spa\src\app\_services\Common.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 4, 17
job-seeker-spa\src\app\_services\Common.service.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 8, 33
job-seeker-spa\src\app\_services\admin.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 4, 17
job-seeker-spa\src\app\_services\admin.service.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 11, 31, 166
job-seeker-spa\src\app\_services\alertify.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 4, 17
job-seeker-spa\src\app\_services\alertify.service.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 11, 36
job-seeker-spa\src\app\_services\auth.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 4, 17
job-seeker-spa\src\app\_services\auth.service.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 12, 58
job-seeker-spa\src\app\_services\employee.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 4, 17
job-seeker-spa\src\app\_services\employee.service.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 7, 39, 176
job-seeker-spa\src\app\_services\jobSeeker.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 4, 17
job-seeker-spa\src\app\_services\jobSeeker.service.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 19, 35, 164
job-seeker-spa\src\app\admin\employee-manipulation-admin\employee-manipulation-admin.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 23
job-seeker-spa\src\app\admin\employee-manipulation-admin\employee-manipulation-admin.component.html, HTML, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 10, 43, 201
job-seeker-spa\src\app\admin\employee-manipulation-admin\employee-manipulation-admin.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\admin\employee-manipulation-admin\employee-manipulation-admin.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 31, 121
job-seeker-spa\src\app\admin\employee-manipulation-admin\employeeCard\employeeCard.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
job-seeker-spa\src\app\admin\employee-manipulation-admin\employeeCard\employeeCard.component.html, HTML, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 9, 26, 132
job-seeker-spa\src\app\admin\employee-manipulation-admin\employeeCard\employeeCard.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\admin\employee-manipulation-admin\employeeCard\employeeCard.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 22, 86
job-seeker-spa\src\app\admin\job-manipulation-admin\job-manipulation-admin.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker-spa\src\app\admin\job-manipulation-admin\job-manipulation-admin.component.html, HTML, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
job-seeker-spa\src\app\admin\job-manipulation-admin\job-manipulation-admin.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\admin\job-manipulation-admin\job-manipulation-admin.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
job-seeker-spa\src\app\admin\jobseeker-manipulation-admin\jobseeker-manipulation-admin.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker-spa\src\app\admin\jobseeker-manipulation-admin\jobseeker-manipulation-admin.component.html, HTML, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 3
job-seeker-spa\src\app\admin\jobseeker-manipulation-admin\jobseeker-manipulation-admin.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\admin\jobseeker-manipulation-admin\jobseeker-manipulation-admin.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
job-seeker-spa\src\app\app.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker-spa\src\app\app.component.html, HTML, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 6
job-seeker-spa\src\app\app.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
job-seeker-spa\src\app\app.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 9, 34
job-seeker-spa\src\app\app.module.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 12, 105
job-seeker-spa\src\app\employee\job-manipulation-employee\JobCardComponent\JobCardComponent.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker-spa\src\app\employee\job-manipulation-employee\JobCardComponent\JobCardComponent.component.html, HTML, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 10, 38, 230
job-seeker-spa\src\app\employee\job-manipulation-employee\JobCardComponent\JobCardComponent.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\employee\job-manipulation-employee\JobCardComponent\JobCardComponent.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 1, 22, 89
job-seeker-spa\src\app\employee\job-manipulation-employee\job-manipulation-employee.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 23
job-seeker-spa\src\app\employee\job-manipulation-employee\job-manipulation-employee.component.html, HTML, 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 10, 59, 306
job-seeker-spa\src\app\employee\job-manipulation-employee\job-manipulation-employee.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\employee\job-manipulation-employee\job-manipulation-employee.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 34, 121
job-seeker-spa\src\app\employee\jobseeker-manipulation-employee\jobseeker-card\jobseeker-card.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker-spa\src\app\employee\jobseeker-manipulation-employee\jobseeker-card\jobseeker-card.component.html, HTML, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 42, 210
job-seeker-spa\src\app\employee\jobseeker-manipulation-employee\jobseeker-card\jobseeker-card.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\employee\jobseeker-manipulation-employee\jobseeker-card\jobseeker-card.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 5, 18, 79
job-seeker-spa\src\app\employee\jobseeker-manipulation-employee\jobseeker-manipulation-employee.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
job-seeker-spa\src\app\employee\jobseeker-manipulation-employee\jobseeker-manipulation-employee.component.html, HTML, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 32, 14, 94
job-seeker-spa\src\app\employee\jobseeker-manipulation-employee\jobseeker-manipulation-employee.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\employee\jobseeker-manipulation-employee\jobseeker-manipulation-employee.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 3, 20, 73
job-seeker-spa\src\app\home\home.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker-spa\src\app\home\home.component.html, HTML, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 15, 62
job-seeker-spa\src\app\home\home.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\home\home.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 20, 56
job-seeker-spa\src\app\jobseeker\ManageCV-JobSeeker\ManageCV-JobSeeker.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
job-seeker-spa\src\app\jobseeker\ManageCV-JobSeeker\ManageCV-JobSeeker.component.html, HTML, 0, 0, 0, 0, 0, 0, 365, 0, 0, 0, 0, 48, 88, 501
job-seeker-spa\src\app\jobseeker\ManageCV-JobSeeker\ManageCV-JobSeeker.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\jobseeker\ManageCV-JobSeeker\ManageCV-JobSeeker.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 14, 57, 237
job-seeker-spa\src\app\jobseeker\findjob-jobseeker\findjob-jobseeker.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 7, 33
job-seeker-spa\src\app\jobseeker\findjob-jobseeker\findjob-jobseeker.component.html, HTML, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 24, 88
job-seeker-spa\src\app\jobseeker\findjob-jobseeker\findjob-jobseeker.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\jobseeker\findjob-jobseeker\findjob-jobseeker.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 14, 47
job-seeker-spa\src\app\jobseeker\register\register.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker-spa\src\app\jobseeker\register\register.component.html, HTML, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 10, 12, 38
job-seeker-spa\src\app\jobseeker\register\register.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\jobseeker\register\register.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 13, 72
job-seeker-spa\src\app\jobseeker\reports-jobseeker\reports-jobseeker.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
job-seeker-spa\src\app\jobseeker\reports-jobseeker\reports-jobseeker.component.html, HTML, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 44, 207
job-seeker-spa\src\app\jobseeker\reports-jobseeker\reports-jobseeker.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\jobseeker\reports-jobseeker\reports-jobseeker.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 4, 16, 67
